,Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Promos_Total,Age,Dependants,Has_minor,Partner,House_members,Income_per_members,Total_spent
0,Graduate,58138.0,0,0,2 Meses,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,0,Idosos,0,0,1,2,29069.0,1617
1,Graduate,46344.0,1,1,2 Meses,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,0,Idosos,2,1,1,4,11586.0,27
2,Graduate,71613.0,0,0,1 Mes,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,0,Meia-idade,0,0,1,2,35806.5,776
3,Graduate,26646.0,1,0,1 Mes,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,0,Adultos,1,1,1,3,8882.0,53
4,Postgraduate,58293.0,1,0,> 3 Meses,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,29146.5,422
5,Postgraduate,62513.0,0,1,1 Mes,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,0,Meia-idade,1,1,1,3,20837.666666666668,716
6,Graduate,55635.0,0,1,2 Meses,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,0,Meia-idade,1,1,0,2,27817.5,590
7,Postgraduate,33454.0,1,0,2 Meses,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,16727.0,169
8,Postgraduate,30351.0,1,0,1 Mes,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,0,Meia-idade,1,1,1,3,10117.0,46
9,Postgraduate,5648.0,1,1,3 Meses,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,1,Idosos,2,1,1,4,1412.0,49
11,Undergraduate,7500.0,0,0,2 Meses,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,0,Adultos,0,0,0,1,7500.0,61
12,Graduate,63033.0,0,0,3 Meses,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,0,Idosos,0,0,0,1,63033.0,1102
13,Postgraduate,59354.0,1,1,2 Meses,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,0,Idosos,2,1,0,3,19784.666666666668,310
14,Graduate,17323.0,0,0,2 Meses,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,0,Adultos,0,0,0,1,17323.0,46
15,Postgraduate,82800.0,0,0,1 Mes,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,2,Idosos,0,0,1,2,41400.0,1315
16,Graduate,41850.0,1,1,2 Meses,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,0,Adultos,2,1,0,3,13950.0,96
17,Graduate,37760.0,0,0,1 Mes,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,0,Idosos,0,0,1,2,18880.0,317
18,Postgraduate,76995.0,0,1,> 3 Meses,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,1,Idosos,1,1,0,2,38497.5,1782
19,Undergraduate,33812.0,1,0,3 Meses,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,0,Adultos,1,1,1,3,11270.666666666666,133
20,Graduate,37040.0,0,0,2 Meses,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,0,Adultos,0,0,0,1,37040.0,316
21,Graduate,2447.0,1,0,2 Meses,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,0,Adultos,1,1,0,2,1223.5,1730
22,Postgraduate,58607.0,0,1,3 Meses,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,1,Idosos,1,1,0,2,29303.5,972
23,Postgraduate,65324.0,0,1,1 Mes,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,0,Idosos,1,1,0,2,32662.0,544
24,Graduate,40689.0,0,1,3 Meses,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,0,Idosos,1,1,1,3,13563.0,444
25,Graduate,18589.0,0,0,3 Meses,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,0,Meia-idade,0,0,1,2,9294.5,75
26,Graduate,53359.0,1,1,1 Mes,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,0,Adultos,2,1,0,3,17786.333333333332,257
